current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
104,Drone_819,0.4599999999999995,0.6136929,0.25495097567963926,25.52689560699111,Charger_122,6,1,0,0
106,Drone_807,0.4149999999999995,0.665674,0.2109502310972899,21.12686111897288,Charger_122,5,1,1,0
106,Drone_801,0.38999999999999946,0.57145345,0.18439088914585774,18.47086455015161,Charger_123,7,2,0,0
106,Drone_813,0.4249999999999995,0.5722332,0.2202271554554524,22.054524631763456,Charger_123,7,2,0,0
119,Drone_811,0.35999999999999943,0.5669222,0.15652475842498528,15.684336832835529,Charger_121,7,1,0,0
124,Drone_802,0.3149999999999994,0.57931995,0.11401754250991379,11.433714952691776,Charger_121,6,1,1,0
126,Drone_812,0.3249999999999994,0.77415895,0.12041594578792296,12.073411216623812,Charger_123,5,4,1,1
129,Drone_806,0.2949999999999994,0.803217,0.11401754250991379,11.434514952691776,Charger_122,4,3,1,1
133,Drone_816,0.3049999999999994,0.8719446,0.19235384061671343,19.270878215296012,Charger_123,4,4,1,2
136,Drone_805,0.26499999999999935,0.81958205,0.09219544457292887,9.252632275075804,Charger_121,5,5,1,1
143,Drone_818,0.26499999999999935,0.8545112,0.15652475842498528,15.688136832835529,Charger_122,3,3,1,2
155,Drone_820,0.2099999999999993,0.84626323,0.14317821063276354,14.355148191701664,Charger_121,4,4,1,2
280,Drone_801,0.38999999999999946,0.8523425,0.18439088914585774,18.47086455015161,Charger_123,2,1,0,0
281,Drone_807,0.4149999999999995,0.7888051,0.2109502310972899,21.12686111897288,Charger_122,3,1,0,0
300,Drone_813,0.3199999999999994,0.85463184,0.11401754250991379,11.433514952691775,Charger_121,2,1,0,0
314,Drone_811,0.3199999999999994,0.84176594,0.11401754250991379,11.433514952691775,Charger_122,2,1,0,1
325,Drone_819,0.28499999999999936,0.8632872,0.0806225774829855,8.09408265139787,Charger_122,1,1,1,1
326,Drone_802,0.28499999999999936,0.9810293,0.11401754250991379,11.434914952691775,Charger_121,1,1,0,1
334,Drone_812,0.3249999999999994,0.8585976,0.12041594578792296,12.073411216623812,Charger_123,2,1,0,0
429,Drone_801,0.38999999999999946,0.78774023,0.18439088914585774,18.47086455015161,Charger_123,3,1,0,0
449,Drone_807,0.3199999999999994,0.85419226,0.11401754250991379,11.433514952691775,Charger_121,2,1,0,0
468,Drone_813,0.28499999999999936,0.8499313,0.0806225774829855,8.09408265139787,Charger_122,2,1,0,0
470,Drone_811,0.3549999999999994,0.8583593,0.15,15.0318,Charger_123,2,1,0,0
493,Drone_819,0.2999999999999994,0.7871041,0.09219544457292887,9.251232275075804,Charger_121,3,1,0,0
494,Drone_802,0.3199999999999994,0.9215398,0.11401754250991379,11.433514952691775,Charger_122,1,1,0,1
